,title,genre,year,decade,runtime,rating,director,actor1,actor2,actor3,gross
0,(500) Days of Summer,"Comedy,Drama,Romance",2009,2000,95,7.7,Marc Webb,Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend,32.39
1,10 Cloverfield Lane,"Drama,Horror,Mystery",2016,2010,104,7.2,Dan Trachtenberg,John Goodman, Mary Elizabeth Winstead, John Gallagher Jr.,71.9
2,10 Days in a Madhouse,Drama,2015,2010,111,7.5,Timothy Hines,Christopher Lambert,Kelly LeBrock,Alexandra Callas,0.01
3,10 Things I Hate About You,"Comedy,Drama,Romance",1999,1990,97,7.2,Gil Junger,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,38.18
4,10 Years,"Comedy,Drama,Romance",2011,2010,100,6.1,Jamie Linden,Channing Tatum, Rosario Dawson, Chris Pratt,0.2
5,101 Dalmatians,"Action,Adventure",1996,1990,103,5.6,Stephen Herek,Glenn Close,Jeff Daniels,Joely Richardson,
6,102 Dalmatians,"Adventure,Comedy,Family",2000,2000,100,4.8,Kevin Lima,Ioan Gruffudd,Eric Idle,Jim Carter,66.94
7,10th & Wolf,"Crime,Drama,Thriller",2006,2000,107,6.4,Robert Moresco,Brian Dennehy,Brad Renfro,Dash Mihok,0.05
8,11'09''01 - September 11,Drama,2002,2000,134,7.0,Samira Makhmalbaf,Sean Penn,Maryam Karimi,Mohamad Dolati,
9,12 Rounds,"Action,Crime,Thriller",2009,2000,108,5.6,Renny Harlin,Taylor Cole,Ashley Scott,Nick Gomez,12.23
10,12 Years a Slave,"Biography,Drama,History",2013,2010,134,8.1,Steve McQueen,Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender,56.67
11,127 Hours,"Adventure,Biography,Drama",2010,2010,94,7.6,Danny Boyle,James Franco, Amber Tamblyn, Kate Mara,18.33
12,13 Going on 30,"Comedy,Fantasy,Romance",2004,2000,98,6.1,Gary Winick,Jennifer Garner,Judy Greer,Christa B. Allen,56.04
13,13 Hours,"Action,Drama,History",2016,2010,144,7.3,Michael Bay,John Krasinski, Pablo Schreiber, James Badge Dale,52.82
14,1408,"Fantasy,Horror",2007,2000,104,6.8,Mikael Håfström,John Cusack, Samuel L. Jackson, Mary McCormack,71.98
15,15 Minutes,"Action,Crime,Drama,Thriller",2001,2000,120,6.1,John Herzfeld,Robert De Niro,Charlize Theron,Kelsey Grammer,24.38
16,16 Blocks,"Action,Crime,Drama,Thriller",2006,2000,102,6.6,Richard Donner,Bruce Willis,David Zayas,Sasha Roiz,36.88
17,17 Again,"Comedy,Drama,Family",2009,2000,102,6.4,Burr Steers,Zac Efron, Matthew Perry, Leslie Mann,64.15
18,1911,"Action,Adventure,Drama,History,War",2011,2010,121,6.0,Li Zhang,Bingbing Li,Joan Chen,Jaycee Chan,0.13
19,1941,"Action,Adventure",1979,1970,118,5.9,Steven Spielberg,Dan Aykroyd,Ned Beatty,John Belushi,
20,2 Days in the Valley,Drama,1996,1990,104,6.5,John Herzfeld,Danny Aiello,Greg Cruttwell,James Spader,
21,2 Fast 2 Furious,"Action,Crime,Thriller",2003,2000,107,5.9,John Singleton,Paul Walker,Cole Hauser,Mo Gallini,127.08
22,2 Guns,"Action,Comedy,Crime,Drama,Thriller",2013,2010,109,6.7,Baltasar Kormákur,Denzel Washington,Patrick Fischler,Fred Ward,75.57
23,20 Dates,"Biography,Comedy,Romance",1998,1990,87,5.3,Myles Berkowitz,Tia Carrere,Tom Ardavany,Robert McKee,0.54
24,20 Feet from Stardom,"Documentary,Music",2013,2010,91,7.4,Morgan Neville,Sheryl Crow,Lou Adler,Merry Clayton,4.95
25,200 Cigarettes,"Comedy,Drama,Romance",1999,1990,101,5.9,Risa Bramon Garcia,Janeane Garofalo,Dave Chappelle,Gaby Hoffmann,6.85
26,2001: A Space Odyssey,"Adventure,Mystery,Sci-Fi",1968,1920-1960,161,8.3,Stanley Kubrick,Keir Dullea,Gary Lockwood,Glenn Beck,56.72
27,2012,"Action,Adventure,Sci-Fi",2009,2000,158,5.8,Roland Emmerich,John Cusack, Thandie Newton, Chiwetel Ejiofor,166.11
28,2016: Obama's America,Documentary,2012,2010,87,5.1,Dinesh D'Souza,Barack Obama,Zackary Steven Graham,Dinesh D'Souza,33.35
29,2046,"Drama,Romance,Sci-Fi",2004,2000,129,7.5,Kar-Wai Wong,Li Gong,Tony Chiu Wai Leung,Maggie Cheung,0.26
30,20th Century Women,"Comedy,Drama",2016,2010,119,7.4,Mike Mills,Annette Bening, Elle Fanning, Greta Gerwig,5.66
31,21,"Crime,Drama,Thriller",2008,2000,123,6.8,Robert Luketic,Jim Sturgess, Kate Bosworth, Kevin Spacey,81.16
32,21 & Over,Comedy,2013,2010,93,5.9,Jon Lucas,Justin Chon,Josie Loren,Sarah Wright,25.68
33,21 Grams,Drama,2003,2000,124,7.7,Alejandro G. Iñárritu,Naomi Watts,Eddie Marsan,Danny Huston,16.25
34,21 Jump Street,"Action,Comedy,Crime",2012,2010,110,7.2,Phil Lord,Jonah Hill, Channing Tatum, Ice Cube,138.45
35,22 Jump Street,"Action,Comedy,Crime",2014,2010,112,7.1,Phil Lord,Channing Tatum, Jonah Hill, Ice Cube,191.62
36,2307: Winter's Dream,Sci-Fi,2016,2010,101,4.0,Joey Curtis,Paul Sidhu, Branden Coles, Arielle Holmes,20.76
37,25th Hour,Drama,2002,2000,108,7.7,Spike Lee,Philip Seymour Hoffman,Rosario Dawson,Aaron Stanford,13.06
38,27 Dresses,"Comedy,Romance",2008,2000,111,6.1,Anne Fletcher,Judy Greer,Bern Cohen,Yetta Gottesman,76.81
39,28 Days,"Comedy,Drama",2000,2000,103,6.0,Betty Thomas,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,37.04
40,28 Days Later,"ScienceFiction,Fantasy",2003,2000,113,7.6,Danny Boyle,Cillian Murphy,Naomie Harris,Brendan Gleeson,
41,28 Days Later...,"Drama,Horror,Sci-Fi,Thriller",2002,2000,113,7.6,Danny Boyle,Noah Huntley,Megan Burns,David Schneider,45.06
42,28 Weeks Later,"Drama,Horror,Sci-Fi",2007,2000,100,7.0,Juan Carlos Fresnadillo,Jeremy Renner, Rose Byrne, Robert Carlyle,28.64
43,3,"Comedy,Drama,Romance",2010,2010,119,6.8,Tom Tykwer,Devid Striesow,Sebastian Schipper,Sophie Rois,0.06
44,3 Days to Kill,"Action,Drama,Thriller",2014,2010,117,6.2,McG,Kevin Costner, Hailee Steinfeld, Connie Nielsen,30.69
45,3 Idiots,"Comedy,Drama",2009,2000,170,8.4,Rajkumar Hirani,Aamir Khan, Madhavan, Mona Singh,6.52
46,3 Men and a Baby,"Comedy,Drama,Family",1987,1980,102,5.9,Leonard Nimoy,Tom Selleck,Ted Danson,Steve Guttenberg,167.78
47,3 Ninjas Kick Back,"Action,Comedy,Family",1994,1990,93,4.3,Charles T. Kanganis,Victor Wong,Dustin Nguyen,Don Stark,11.78
48,3 Strikes,Comedy,2000,2000,82,4.0,DJ Pooh,Mo'Nique,Mike Epps,Faizon Love,9.82
49,30 Days of Night,Horror,2007,2000,113,6.6,David Slade,Danny Huston,Mark Rendall,Megan Franich,39.57
50,30 Minutes or Less,"Action,Comedy,Crime",2011,2010,83,6.1,Ruben Fleischer,Bianca Kajlich,Dilshad Vadsaria,Fred Ward,37.05
51,300,"Action,Fantasy,War",2006,2000,117,7.7,Zack Snyder,Gerard Butler, Lena Headey, David Wenham,210.59
52,3000 Miles to Graceland,"Action,Comedy,Crime,Thriller",2001,2000,125,5.9,Demian Lichtenstein,Jon Lovitz,Bokeem Woodbine,Ice-T,15.74
53,300: Rise of an Empire,"Action,Drama,Fantasy",2014,2010,102,6.2,Noam Murro,Sullivan Stapleton, Eva Green, Lena Headey,106.37
54,31,"Horror,Thriller",2016,2010,102,5.1,Rob Zombie,Malcolm McDowell, Richard Brake, Jeff Daniel Phillips,0.78
55,3:10 to Yuma,"Adventure,Crime,Drama,Western",2007,2000,122,7.8,James Mangold,Christian Bale,Logan Lerman,Gretchen Mol,53.57
56,"4 Months, 3 Weeks and 2 Days",Drama,2007,2000,113,7.9,Cristian Mungiu,Anamaria Marinca,Vlad Ivanov,Alexandru Potocean,1.19
57,40 Days and 40 Nights,"Comedy,Romance",2002,2000,96,5.6,Michael Lehmann,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,37.94
58,42,"Biography,Drama,Sport",2013,2010,128,7.5,Brian Helgeland,Chadwick Boseman, T.R. Knight, Harrison Ford,95.0
59,42nd Street,"Comedy,Musical,Romance",1933,1920-1960,89,7.7,Lloyd Bacon,Ginger Rogers,Dick Powell,George Brent,2.3
60,47 Ronin,"Action,Adventure,Drama,Fantasy",2013,2010,128,6.3,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,38.3
61,49 Up,Documentary,2006,2000,180,8.2,Michael Apted,Bruce Balden,Jacqueline Bassett,Symon Basterfield,
62,5 Days of War,"Action,Drama,War",2011,2010,113,5.6,Renny Harlin,Richard Coyle,Kenneth Cranham,Ana Imnadze,0.02
63,50 First Dates,"Comedy,Romance",2004,2000,99,6.8,Peter Segal,Adam Sandler,Peter Dante,Allen Covert,120.78
64,50/50,"Comedy,Drama,Romance",2011,2010,100,7.7,Jonathan Levine,Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick,34.96
65,500 Days of Summer,"Comedy,Drama,Romance",2009,2000,95,7.7,Marc Webb,Joseph Gordon-Levitt,Chloë Grace Moretz,Zooey Deschanel,32.39
66,51 Birch Street,Documentary,2005,2000,90,7.5,Doug Block,Carol Block,Ellen Block,Mike Block,0.08
67,54,"Drama,Music",1998,1990,121,5.8,Mark Christopher,Salma Hayek,Ellen Albertini Dow,Sela Ward,16.57
68,8 Heads in a Duffel Bag,"Comedy,Crime",1997,1990,95,5.3,Tom Schulman,Kristy Swanson,George Hamilton,Dyan Cannon,3.56
69,8 Mile,"Drama,Music",2002,2000,110,7.0,Curtis Hanson,Mekhi Phifer,Omar Benson Miller,Evan Jones,116.72
70,8 Women,"Comedy,Crime,Musical,Romance",2002,2000,111,7.1,François Ozon,Catherine Deneuve,Isabelle Huppert,Emmanuelle Béart,3.08
71,88 Minutes,"Crime,Drama,Mystery,Thriller",2007,2000,108,5.9,Jon Avnet,Al Pacino,Alicia Witt,Deborah Kara Unger,16.93
72,8: The Mormon Proposition,Documentary,2010,2010,80,7.1,Reed Cowan,Dustin Lance Black,Emily Pearson,Gavin Newsom,0.1
73,8MM,"Mystery,Thriller",1999,1990,123,6.5,Joel Schumacher,Nicolas Cage,Chris Bauer,Anthony Heald,36.28
74,9,"Action,Adventure,Animation,Drama,Mystery,Sci-Fi,Thriller",2009,2000,79,7.1,Shane Acker,Martin Landau,Alan Oppenheimer,Tom Kane,31.74
75,90 Minutes in Heaven,Drama,2015,2010,121,4.6,Michael Polish,Hayden Christensen,Bobby Batson,Cynthia Barrett,4.7
76,9½ Weeks,"Drama,Romance",1986,1980,112,5.9,Adrian Lyne,David Margulies,Karen Young,Kim Chan,6.73
77,A Beautiful Mind,"Biography,Drama",2001,2000,135,8.2,Ron Howard,Adam Goldberg,Austin Pendleton,Judd Hirsch,170.71
78,A Better Life,"Drama,Romance",2011,2010,98,7.2,Chris Weitz,Demián Bichir,Eddie 'Piolin' Sotelo,Robert Peters,1.75
79,A Bigger Splash,"Drama,Thriller",2015,2010,125,6.4,Luca Guadagnino,Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes,1.98
80,A Boy and His Dog,Drama,1975,1970,91,6.6,L.Q. Jones,Don Johnson,Susanne Benton,Jason Robards,
81,A Bridge Too Far,"Drama,History,War",1977,1970,175,7.4,Richard Attenborough,Ryan O'Neal,Dirk Bogarde,Wolfgang Preiss,50.8
82,A Bug's Life,"Adventure,Animation,Comedy,Family,Fantasy",1998,1990,95,7.2,John Lasseter,Kevin Spacey,Madeline Kahn,John Ratzenberger,162.79
83,A Christmas Carol,"Animation,Drama,Family,Fantasy",2009,2000,96,6.8,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,137.85
84,A Cinderella Story,"Comedy,Family,Romance",2004,2000,95,5.9,Mark Rosman,Dan Byrd,Lin Shaye,Julie Gonzalo,51.43
85,A Civil Action,Drama,1998,1990,115,6.5,Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,56.7
86,A Cure for Wellness,"Drama,Fantasy,Horror",2016,2010,146,6.5,Gore Verbinski,Dane DeHaan, Jason Isaacs, Mia Goth,8.1
87,A Dangerous Method,"Biography,Drama,Thriller",2011,2010,99,6.5,David Cronenberg,Michael Fassbender,Viggo Mortensen,Sarah Gadon,5.7
88,A Dog of Flanders,"Drama,Family",1999,1990,100,6.3,Kevin Brodie,Bruce McGill,Cheryl Ladd,Jack Warden,2.15
89,A Few Good Men,"Drama,Thriller",1992,1990,138,7.6,Rob Reiner,Tom Cruise,Demi Moore,Kevin Pollak,141.34
90,A Fistful of Dollars,"Action,Drama,Western",1964,1920-1960,99,8.0,Sergio Leone,Clint Eastwood,Gian Maria Volontè,Aldo Sambrell,3.5
91,A Good Day to Die Hard,"Action,Thriller",2013,2010,101,5.3,John Moore,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,67.34
92,A Good Old Fashioned Orgy,Comedy,2011,2010,95,6.2,Alex Gregory,Jason Sudeikis,Leslie Bibb,Lake Bell,
93,A Good Woman,Drama,2006,2000,93,6.5,Mike Barker,Helen Hunt,Scarlett Johansson,Tom Wilkinson,
94,A Good Year,"Comedy,Drama,Romance",2006,2000,117,6.9,Ridley Scott,Russell Crowe, Abbie Cornish, Albert Finney,7.46
95,A Guy Thing,"Comedy,Romance",2003,2000,101,5.6,Chris Koch,Thomas Lennon,Lochlyn Munro,James Brolin,15.41
96,A Hard Day's Night,"Comedy,Musical",1964,1920-1960,87,7.7,Richard Lester,Paul McCartney,Ringo Starr,George Harrison,0.52
97,A Haunted House,"Comedy,Fantasy",2013,2010,86,5.1,Michael Tiddes,Essence Atkins,Alanna Ubach,J.B. Smoove,40.04
98,A Haunted House 2,"Comedy,Fantasy",2014,2010,86,4.7,Michael Tiddes,Ashley Rickards,Essence Atkins,Gabriel Iglesias,17.31
99,A History of Violence,"Crime,Drama,Thriller",2005,2000,96,7.5,David Cronenberg,Viggo Mortensen,Kyle Schmid,William Hurt,31.49
100,A Hologram for the King,"Comedy,Drama",2016,2010,98,6.1,Tom Tykwer,Tom Hanks, Sarita Choudhury, Ben Whishaw,4.2
101,A Home at the End of the World,"Drama,Romance",2004,2000,97,6.8,Michael Mayer,Robin Wright,Matt Frewer,Sissy Spacek,1.03
102,A Kind of Murder,"Crime,Drama,Thriller",2016,2010,95,5.2,Andy Goddard,Patrick Wilson, Jessica Biel, Haley Bennett,0.0
103,A Knight's Tale,"Action,Adventure,Romance",2001,2000,144,6.9,Brian Helgeland,Heath Ledger,Rufus Sewell,Bérénice Bejo,56.08
104,A League of Their Own,"Comedy,Drama,Sport",1992,1990,128,7.2,Penny Marshall,Tom Hanks,Lori Petty,Rosie O'Donnell,107.46
105,A Lego Brickumentary,Documentary,2014,2010,93,6.8,Kief Davidson,G.W. Krauss,Brian Whitaker,Jason Bateman,0.1
106,A Little Romance,Drama,1979,1970,110,7.5,George Roy Hill,Laurence Olivier,Diane Lane,Thelonious Bernard,
107,A Lot Like Love,"Comedy,Drama,Romance",2005,2000,107,6.6,Nigel Cole,Aimee Garcia,Tyrone Giordano,James Read,21.84
108,A Low Down Dirty Shame,"Action,Comedy,Crime",1994,1990,100,5.8,Keenen Ivory Wayans,Jada Pinkett Smith,Salli Richardson-Whitfield,Charles S. Dutton,29.39
109,A Madea Christmas,"Comedy,Drama",2013,2010,100,4.7,Tyler Perry,Alicia Witt,Tika Sumpter,Larry the Cable Guy,52.53
110,A Man Apart,"Action,Crime,Drama,Thriller",2003,2000,109,6.1,F. Gary Gray,Vin Diesel,Jeff Kober,Larenz Tate,26.18
111,A Mighty Heart,"Biography,Drama,History,Thriller,War",2007,2000,108,6.7,Michael Winterbottom,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman,9.17
112,A Mighty Wind,"Comedy,Music",2003,2000,91,7.3,Christopher Guest,Michael McKean,Christopher Guest,Laura Harris,17.51
113,A Million Ways to Die in the West,"Comedy,Romance,Western",2014,2010,116,6.1,Seth MacFarlane,Seth MacFarlane, Charlize Theron, Liam Neeson,42.62
114,A Monster Calls,"Drama,Fantasy",2016,2010,108,7.5,J.A. Bayona,Lewis MacDougall, Sigourney Weaver, Felicity Jones,3.73
115,A Most Violent Year,"Action,Crime,Drama,Thriller",2014,2010,125,7.0,J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,5.75
116,A Most Wanted Man,"Crime,Drama,Thriller",2014,2010,122,6.8,Anton Corbijn,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,17.24
117,A New Life,Drama,1988,1980,104,5.7,Alan Alda,Alan Alda,Ann-Margret,Mary Kay Place,
118,A Night at the Roxbury,"Comedy,Music,Romance",1998,1990,82,6.2,John Fortenberry,Will Ferrell,Chris Kattan,Dan Hedaya,30.32
119,A Nightmare on Elm Street,Horror,1984,1980,101,7.5,Wes Craven,Johnny Depp,Lin Shaye,Amanda Wyss,26.5
120,A Nightmare on Elm Street 2: Freddy's Revenge,"Fantasy,Horror",1985,1980,87,5.4,Jack Sholder,Clu Gulager,Robert Rusler,Marshall Bell,30.0
121,A Nightmare on Elm Street 3: Dream Warriors,"Action,Fantasy,Horror,Thriller",1987,1980,88,6.6,Chuck Russell,John Saxon,Heather Langenkamp,Jennifer Rubin,44.79
122,A Nightmare on Elm Street 4: The Dream Master,"Fantasy,Horror,Thriller",1988,1980,99,5.7,Renny Harlin,Tuesday Knight,Rodney Eastman,Brooke Bundy,49.37
123,A Nightmare on Elm Street 5: The Dream Child,"Fantasy,Horror,Romance,Thriller",1989,1980,89,5.1,Stephen Hopkins,Lisa Wilcox,Kelly Jo Minter,Matthew Borlenghi,22.17
124,A Passage to India,"Adventure,Drama,History",1984,1980,164,7.4,David Lean,Richard Wilson,Judy Davis,Art Malik,26.4
125,A Perfect Getaway,"Adventure,Mystery,Thriller",2009,2000,108,6.5,David Twohy,Chris Hemsworth,Milla Jovovich,Marley Shelton,15.48
126,A Prairie Home Companion,"Comedy,Drama,Music",2006,2000,105,6.8,Robert Altman,Meryl Streep,Virginia Madsen,Lily Tomlin,20.34
127,A Prayer for the Dying,Drama,1987,1980,107,6.4,Mike Hodges,Mickey Rourke,Bob Hoskins,Alan Bates,
128,A Quiet Passion,"Biography,Drama",2016,2010,125,7.2,Terence Davies,Cynthia Nixon, Jennifer Ehle, Duncan Duff,1.08
129,A Room for Romeo Brass,"Comedy,Drama",1999,1990,90,7.7,Shane Meadows,Bob Hoskins,Paddy Considine,Shane Meadows,0.02
130,A Room with a View,"Drama,Romance",1985,1980,117,7.4,James Ivory,Julian Sands,Rupert Graves,Denholm Elliott,20.97
131,A Scanner Darkly,"Animation,Drama,Mystery,Sci-Fi,Thriller",2006,2000,100,7.1,Richard Linklater,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,5.48
132,A Separation,"Drama,Mystery",2011,2010,123,8.4,Asghar Farhadi,Shahab Hosseini,Leila Hatami,Peyman Moaadi,7.1
133,A Serious Man,"Comedy,Drama",2009,2000,106,7.0,Ethan Coen,Michael Stuhlbarg,Fred Melamed,Peter Breitmayer,9.19
134,A Shot at Glory,Drama,2001,2000,114,6.3,Michael Corrente,Michael Keaton,Ally McCoist,Kirsty Mitchell,
135,A Simple Plan,"Crime,Drama,Thriller",1998,1990,121,7.5,Sam Raimi,Gary Cole,Bridget Fonda,Chelcie Ross,16.31
136,A Simple Wish,"Comedy,Family,Fantasy",1997,1990,89,5.4,Michael Ritchie,Mara Wilson,Francis Capra,Kathleen Turner,8.12
137,A Single Man,"Drama,Romance",2009,2000,99,7.6,Tom Ford,Colin Firth,Teddy Sears,Keri Lynn Pratt,9.17
138,A Sound of Thunder,"Action,Adventure,Horror,Sci-Fi,Thriller",2005,2000,102,4.2,Peter Hyams,David Oyelowo,Catherine McCormack,Jemima Rooper,1.89
139,A Star is Born,Drama,1976,1970,139,6.5,Frank R. Pierson,Barbra Streisand,Kris Kristofferson,Gary Busey,
140,A Stranger Among Us,Drama,1992,1990,110,5.7,Sidney Lumet,Melanie Griffith,Eric Thal,John Pankow,
141,A Street Cat Named Bob,"Biography,Comedy,Drama",2016,2010,103,7.4,Roger Spottiswoode,Luke Treadaway, Bob the Cat, Ruta Gedmintas,0.04
142,A Thin Line Between Love and Hate,"Comedy,Crime,Drama,Romance,Thriller",1996,1990,108,5.6,Martin Lawrence,Faizon Love,Lynn Whitfield,Della Reese,34.75
143,A Thousand Words,"Comedy,Drama",2012,2010,91,5.9,Brian Robbins,John Gatins,Lou Saliba,Greg Collins,18.44
144,A Time to Kill,"Crime,Drama,Thriller",1996,1990,149,7.4,Joel Schumacher,Kevin Spacey,Matthew McConaughey,Oliver Platt,108.71
145,A United Kingdom,"Biography,Drama,Romance",2016,2010,111,6.8,Amma Asante,David Oyelowo, Rosamund Pike, Tom Felton,3.9
146,A Very Harold & Kumar 3D Christmas,"Adventure,Comedy",2011,2010,90,6.3,Todd Strauss-Schulson,Patton Oswalt,Thomas Lennon,Paula Garcés,35.03
147,A Very Long Engagement,"Drama,Mystery,Romance,War",2004,2000,133,7.7,Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,6.17
148,A View to a Kill,"Action,Adventure,Thriller",1985,1980,131,6.3,John Glen,Patrick Macnee,Alison Doody,Tanya Roberts,50.3
149,A Walk Among the Tombstones,"Crime,Drama,Mystery",2014,2010,114,6.5,Scott Frank,Liam Neeson, Dan Stevens, David Harbour,25.98
150,A Walk on the Moon,Drama,1999,1990,107,6.6,Tony Goldwyn,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,4.74
151,A Walk to Remember,"Drama,Romance",2002,2000,101,7.4,Adam Shankman,Lauren German,Peter Coyote,Paz de la Huerta,41.23
152,"A Woman, a Gun and a Noodle Shop","Comedy,Drama",2009,2000,95,5.7,Yimou Zhang,Honglei Sun,Ni Yan,Dahong Ni,0.19
153,A.I. Artificial Intelligence,"Adventure,Drama,Sci-Fi",2001,2000,146,7.1,Steven Spielberg,Haley Joel Osment,William Hurt,Kevin Sussman,78.62
154,ABCD (Any Body Can Dance),"Drama,Musical",2013,2010,160,6.4,Remo,Lauren Gottlieb,Remo,Prabhudheva,0.1
155,ATL,"Comedy,Crime,Drama,Music,Romance",2006,2000,105,6.0,Chris Robinson,T.I.,Adam Boyer,Malika,21.16
156,AVP: Alien vs. Predator,"Action,Horror,Sci-Fi,Thriller",2004,2000,109,5.6,Paul W.S. Anderson,Sanaa Lathan,Colin Salmon,Raoul Bova,80.28
157,Abandon,"Drama,Music,Mystery,Romance,Thriller",2002,2000,99,4.9,Stephen Gaghan,Charlie Hunnam,Zooey Deschanel,Tony Goldwyn,10.72
158,Abduction,"Action,Mystery,Thriller",2011,2010,106,5.0,John Singleton,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone,28.06
159,Aberdeen,Drama,2000,2000,106,7.3,Hans Petter Moland,Charlotte Rampling,Sara-Marie Maltha,Stellan Skarsgård,0.06
160,About Last Night,"Comedy,Romance",2014,2010,100,6.1,Steve Pink,Joe Lo Truglio,Regina Hall,Bryan Callen,48.64
161,About Schmidt,"Comedy,Drama",2002,2000,125,7.2,Alexander Payne,Hope Davis,June Squibb,Howard Hesseman,65.01
162,About Time,"Comedy,Drama,Fantasy",2013,2010,123,7.8,Richard Curtis,Domhnall Gleeson, Rachel McAdams, Bill Nighy,15.29
163,About a Boy,"Comedy,Drama,Romance",2002,2000,101,7.1,Chris Weitz,Sharon Small,Christopher Webster,Peter McNicholl,40.57
164,Abraham Lincoln: Vampire Hunter,"Action,Fantasy,Horror",2012,2010,105,5.9,Timur Bekmambetov,Rufus Sewell,Dominic Cooper,Benjamin Walker,37.52
165,Absolute Power,"Action,Crime,Drama,Thriller",1997,1990,121,6.7,Clint Eastwood,Clint Eastwood,Mark Margolis,Scott Glenn,50.01
166,Ace Ventura: Pet Detective,Comedy,1994,1990,78,6.9,Tom Shadyac,Sean Young,Udo Kier,David Margulies,72.22
167,Ace Ventura: When Nature Calls,"Adventure,Comedy",1995,1990,90,6.3,Steve Oedekerk,Bruce Spence,Bob Gunton,Sophie Okonedo,108.36
168,Across the Universe,"Drama,Fantasy,Musical",2007,2000,133,7.4,Julie Taymor,Evan Rachel Wood, Jim Sturgess, Joe Anderson,24.34
169,Act of Valor,"Action,Adventure,Drama,Thriller,War",2012,2010,110,6.5,Mike McCoy,Alex Veadov,Jason Cottle,Rorke Denver,70.01
170,Action Jackson,"Action,Comedy,Crime,Thriller",1988,1980,96,5.2,Craig R. Baxley,Bill Duke,Vanity,Carl Weathers,20.26
171,Adam,"Drama,Romance",2009,2000,99,7.2,Max Mayer,Peter Gallagher,Terry Walters,Amy Irving,2.28
172,Adaptation.,"Comedy,Drama",2002,2000,81,7.7,Spike Jonze,Nicolas Cage,Meryl Streep,Roger Willie,22.25
173,Addicted,"Drama,Thriller",2014,2010,106,5.2,Bille Woodruff,Boris Kodjoe,Cameron Mills,Sharon Leal,17.38
174,Admission,"Comedy,Drama,Romance",2013,2010,107,5.7,Paul Weitz,Tina Fey,Sarita Choudhury,Christopher Evan Welch,18.0
175,Adoration,"Drama,Romance",2013,2010,112,6.2,Anne Fontaine,Naomi Watts, Robin Wright, Xavier Samuel,0.32
176,Adore,"Drama,Romance",2013,2010,112,6.2,Anne Fontaine,Robin Wright,Naomi Watts,Ben Mendelsohn,0.32
177,Adventureland,"Comedy,Drama,Romance",2009,2000,107,6.8,Greg Mottola,Kristen Stewart,Martin Starr,Wendie Malick,16.03
178,After Earth,"Action,Adventure,Sci-Fi",2013,2010,100,4.9,M. Night Shyamalan,Jaden Smith, David Denman, Will Smith,60.52
179,After Innocence,Documentary,2005,2000,95,7.8,Jessica Sanders,Herman Atkins,Wilton Dedge,Scott Hornoff,
180,After the Sunset,"Action,Comedy,Crime,Drama",2004,2000,97,6.3,Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,28.33
181,After.Life,"Drama,Horror,Mystery,Thriller",2009,2000,104,5.9,Agnieszka Wojtowicz-Vosloo,Liam Neeson,Josh Charles,Chandler Canterbury,0.11
182,Against the Ropes,"Biography,Drama,Romance,Sport",2004,2000,110,5.3,Charles S. Dutton,Omar Epps,Charles S. Dutton,Tim Daly,5.88
183,Agent Cody Banks,"Action,Adventure,Comedy,Crime,Family,Romance,Thriller",2003,2000,102,5.0,Harald Zwart,Daniel Roebuck,Frankie Muniz,Chris Gauthier,47.29
184,Agent Cody Banks 2: Destination London,"Action,Adventure,Comedy,Family,Romance,Sci-Fi",2004,2000,100,4.5,Kevin Allen,Daniel Roebuck,Frankie Muniz,David Kelly,23.22
185,Agora,"Adventure,Drama,History,Romance",2009,2000,141,7.2,Alejandro Amenábar,Max Minghella,Ashraf Barhom,Rupert Evans,0.62
186,"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God)",Drama,1972,1970,93,8.0,Werner Herzog,Klaus Kinski,Ruy Guerra,Ruy Guerra,
187,Ah-ga-ssi,"Drama,Mystery,Romance",2016,2010,144,8.1,Chan-wook Park,Min-hee Kim, Jung-woo Ha, Jin-woong Jo,2.01
188,Aimee & Jaguar,"Biography,Drama,Romance,War",1999,1990,125,7.3,Max Färberböck,Heike Makatsch,Johanna Wokalek,Maria Schrader,0.93
189,Air Bud,"Comedy,Drama,Family,Sport",1997,1990,98,5.1,Charles Martin Smith,Kevin Zegers,Bill Cobbs,Michael Jeter,24.63
